total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.342609,0,1,0,0,1,0,0,0,0,0,0,0:1;
0.015,0,0,0,0,4,0,4,0,4,0,0,0.015,3,18,0.01,0.331739,1,4,0,336,3,0,0,3,0,0,0,0:1;1:3;
0.015,0,0,0,0,8,0,8,0,8,0,0,0.015,7,42,0.01,0.265652,1,8,0,784,7,0,0,7,0,0,0,0:1;1:7;
0.015,0.015,0,0.015,0,32,0,32,0,33,0,1,0.015,32,192,0.01,0.265652,1,33,1,3584,32,1,0,32,0,0,0,1:32;
0.015,0.015,0,0.015,0,32,0,32,0,33,0,1,0.015,32,192,0.01,0.265652,1,33,1,3584,32,1,0,32,0,0,0,1:32;
0.078,0.078,0,0.078,0,27896,0,21809,0,8209,0,1000,0.078,17440,275838,0.247826,0.265652,1,7846,720,912016,7144,1,0,6919,536,753,0,1:31;4:4568;5:877;6:954;7:26;
0.125,0.11,0.015,0.11,0,55056,0,37201,0,14767,0,2000,0.094,27122,456231,0.221739,0.265652,1,13932,1284,1645728,12695,1,0,12982,930,854,0,1:31;4:4098;5:6128;6:1571;7:78;
0.187,0.172,0.015,0.157,0.016,82312,0,55447,0.016,21044,0,3000,0.094,39732,688683,0.240435,0.265652,1,19836,1995,2342592,17917,1,0,18390,1653,1000,0,1:31;4:3401;5:11253;6:2060;7:276;8:2;
0.234,0.219,0.015,0.204,0.016,110100,0.015,75691,0.016,24233,0,4000,0.126,53012,929802,0.239565,0.265652,1,22607,2694,2687552,19997,1,0,20954,2102,1176,0,1:31;4:2516;5:13818;6:2314;7:352;8:2;
0.312,0.297,0.015,0.282,0.031,137943,0.015,94431,0.016,25954,0.016,5000,0.173,64287,1134105,0.234348,0.265652,1,23719,3239,2865632,20587,1,0,22122,2511,1320,0,1:31;4:1596;5:15101;6:2461;7:379;8:2;
0.39,0.375,0.015,0.36,0.031,165827,0.015,113479,0.016,26926,0.016,6000,0.251,75846,1343196,0.227391,0.265652,1,23871,3592,2957808,20410,1,0,22630,2831,1464,0,1:31;4:648;5:15658;6:2653;7:395;8:2;
0.453,0.422,0.031,0.391,0.031,193180,0.015,130417,0.016,27734,0.016,7000,0.282,85723,1525104,0.249565,0.265652,1,23638,3831,3021760,19981,1,0,23179,3021,1533,0,1:31;5:15670;6:2928;7:488;8:2;
0.484,0.453,0.031,0.391,0.031,219187,0.015,137902,0.016,28567,0.016,8000,0.282,87778,1569903,0.226522,0.265652,1,23471,4024,3104192,19717,1,0,23999,3034,1533,0,1:31;5:15289;6:2999;7:631;8:2;
0.5,0.453,0.047,0.391,0.031,245306,0.015,145114,0.016,29276,0.016,9000,0.282,89770,1613586,0.235217,0.265652,1,23233,4202,3179008,19385,1,0,24669,3073,1533,0,1:31;5:14844;6:3100;7:686;
0.531,0.484,0.047,0.422,0.046,271426,0.031,152540,0.016,29998,0.016,10000,0.282,91871,1658886,0.26087,0.265652,1,22954,4374,3252592,19042,1,0,25350,3107,1540,0,1:31;5:14376;6:3312;7:650;8:7;
0.547,0.5,0.047,0.438,0.046,297525,0.031,159004,0.016,30589,0.016,11000,0.298,93638,1696932,0.253043,0.265652,1,22603,4547,3316544,18613,1,0,25914,3133,1541,0,1:31;5:13954;6:3332;7:630;8:19;
0.562,0.5,0.062,0.438,0.046,323375,0.031,163368,0.016,30779,0.016,12000,0.298,94634,1718346,0.252609,0.265652,1,21635,4616,3331552,17747,1,0,26083,3152,1543,0,1:31;5:13655;6:2938;7:511;8:19;
0.593,0.516,0.077,0.454,0.046,350022,0.031,172000,0.016,32592,0.016,13000,0.314,97875,1786983,0.263478,0.265652,1,22752,5003,3531584,18533,1,0,27666,3354,1571,0,1:31;5:12856;6:4478;7:553;8:19;
0.625,0.548,0.077,0.486,0.046,376831,0.031,179301,0.016,33602,0.016,14000,0.346,100293,1838103,0.247391,0.265652,1,23025,5298,3643920,18536,1,0,28512,3504,1585,0,1:31;5:11924;6:5363;7:590;8:19;
0.64,0.563,0.077,0.501,0.046,403676,0.031,187256,0.016,34611,0.016,15000,0.346,103091,1897020,0.265217,0.265652,1,23265,5584,3756032,18537,1,0,29328,3681,1601,0,1:31;5:10993;6:6268;7:609;8:19;
0.672,0.563,0.093,0.501,0.046,430407,0.031,194248,0.016,35461,0.016,16000,0.346,105386,1945686,0.256522,0.265652,1,23300,5827,3850448,18380,1,0,29921,3918,1621,0,1:31;5:10114;6:6927;7:657;8:22;
0.703,0.594,0.093,0.532,0.062,457213,0.046,203302,0.016,36484,0.016,17000,0.346,108703,2015526,0.253043,0.265652,1,23577,6123,3964800,18401,1,0,30684,4147,1652,0,1:31;5:9186;6:7825;7:679;8:22;
0.718,0.594,0.108,0.532,0.062,483948,0.046,212231,0.016,37392,0.016,18000,0.346,112083,2087151,0.23913,0.265652,1,23714,6402,4065936,18304,1,0,31243,4463,1685,0,1:31;5:8296;6:8503;7:764;8:22;
0.765,0.641,0.108,0.563,0.093,510679,0.046,222800,0.016,38355,0.016,19000,0.346,116658,2183937,0.244348,0.265652,1,23936,6700,4173344,18263,1,0,31650,4969,1735,0,1:31;5:7426;6:9161;7:886;8:22;
0.797,0.673,0.108,0.595,0.093,537345,0.046,230821,0.016,38812,0.032,20000,0.362,119501,2244294,0.264348,0.265652,1,23461,6874,4220608,17685,1,0,31800,5259,1752,0,1:31;5:6559;6:9414;7:924;8:38;
0.828,0.704,0.108,0.626,0.109,564235,0.046,237855,0.016,38957,0.032,21000,0.377,121490,2286153,0.265217,0.265652,1,22448,6944,4223968,16715,1,0,31883,5316,1757,0,1:31;5:5600;6:9509;7:928;8:38;
0.875,0.751,0.108,0.673,0.109,591173,0.046,245007,0.016,39034,0.032,22000,0.424,123500,2328375,0.237391,0.265652,1,21335,6993,4222960,15706,1,0,31929,5343,1761,0,1:31;5:4616;6:9565;7:929;8:38;
0.906,0.782,0.108,0.704,0.109,618095,0.061,251529,0.016,39120,0.032,23000,0.424,125247,2365155,0.26,0.265652,1,20189,7042,4225088,14725,1,0,31968,5388,1763,0,1:31;5:3637;6:9614;7:943;8:38;
0.953,0.813,0.124,0.735,0.109,644960,0.061,259155,0.016,39258,0.048,24000,0.439,127533,2413347,0.237391,0.265652,1,19079,7101,4235168,13815,1,0,32015,5473,1769,0,1:31;5:2689;6:9673;7:963;8:39;
1.015,0.875,0.124,0.797,0.14,671873,0.061,266814,0.016,39339,0.048,25000,0.47,129735,2459697,0.265217,0.265652,1,17889,7141,4239536,12854,1,0,32051,5513,1774,0,1:31;5:1707;6:9710;7:984;8:39;
1.047,0.907,0.124,0.829,0.156,698788,0.061,274777,0.016,39407,0.048,26000,0.47,132212,2511762,0.246087,0.265652,1,16615,7180,4240544,11863,1,0,32068,5560,1778,0,1:31;5:728;6:9749;7:988;8:39;
1.078,0.938,0.124,0.86,0.156,725194,0.061,280665,0.016,39485,0.048,27000,0.47,133639,2541945,0.264783,0.265652,1,15287,7223,4240432,10862,1,0,32106,5596,1782,0,1:31;6:9662;7:875;8:41;
1.109,0.969,0.124,0.891,0.171,750523,0.061,284112,0.016,39706,0.048,28000,0.47,134162,2554581,0.247391,0.265652,1,14376,7303,4263168,10065,1,0,32295,5626,1784,0,1:31;6:8919;7:845;8:32;9:1;
1.125,0.985,0.124,0.891,0.171,775965,0.061,287175,0.016,39849,0.048,29000,0.47,134631,2565855,0.264783,0.265652,1,13319,7367,4276608,9185,1,0,32415,5648,1785,0,1:31;6:8131;7:774;8:33;9:1;
1.156,1,0.14,0.906,0.171,801359,0.061,290258,0.016,39948,0.048,30000,0.47,135155,2578461,0.240435,0.265652,1,12141,7428,4285568,8265,1,0,32505,5657,1785,0,1:31;6:7345;7:661;8:31;9:1;
1.172,1.016,0.14,0.922,0.171,826872,0.061,293367,0.016,40027,0.048,31000,0.47,135578,2588625,0.25913,0.265652,1,10966,7481,4291056,7314,1,0,32574,5667,1785,0,1:31;6:6484;7:619;8:13;9:1;
1.187,1.031,0.14,0.922,0.171,852438,0.061,296146,0.016,40108,0.048,32000,0.47,135922,2596899,0.264348,0.265652,1,9700,7527,4295200,6351,1,0,32630,5692,1785,0,1:31;6:5633;7:554;8:10;9:1;
1.218,1.062,0.14,0.937,0.171,878010,0.061,299394,0.016,40374,0.048,33000,0.485,136480,2610324,0.247391,0.265652,1,8846,7638,4323648,5605,1,0,32849,5737,1787,0,1:31;6:4770;7:679;8:12;9:1;
1.234,1.062,0.156,0.937,0.171,903755,0.061,303128,0.016,40591,0.048,34000,0.485,137265,2629188,0.243913,0.265652,1,7922,7737,4346384,4808,1,0,32986,5815,1789,0,1:31;6:3802;7:860;8:14;9:1;
1.25,1.078,0.156,0.953,0.171,929473,0.061,307131,0.016,40708,0.048,35000,0.501,138177,2651079,0.24913,0.265652,1,6756,7805,4358256,3914,1,0,33042,5873,1792,0,1:31;6:2828;7:947;8:15;9:1;
1.265,1.078,0.171,0.953,0.171,955207,0.061,310716,0.016,40762,0.048,36000,0.501,138863,2667549,0.263043,0.265652,1,5434,7842,4363744,2963,1,0,33055,5913,1793,0,1:31;6:1851;7:977;8:15;9:1;
1.281,1.094,0.171,0.969,0.171,980962,0.061,314454,0.016,40810,0.048,37000,0.517,139594,2685093,0.264783,0.265652,1,3962,7879,4367552,1997,1,0,33063,5950,1796,0,1:31;6:864;7:1009;8:15;9:1;
1.297,1.11,0.171,0.969,0.171,1006523,0.061,318750,0.016,40828,0.048,38000,0.517,140299,2702019,0.262609,0.265652,1,2133,7892,4362064,948,1,0,33067,5964,1796,0,1:31;7:895;8:11;9:1;
1.312,1.11,0.186,0.969,0.171,1031563,0.061,321038,0.016,41469,0.048,39000,0.517,141362,2715771,0.21913,0.265652,1,786,7943,4432624,578,1,0,33639,5981,1848,0,1:29;2:27;3:416;4:52;5:3;
1.359,1.157,0.186,1.016,0.186,1060075,0.061,330211,0.016,43899,0.064,40000,0.533,146589,2792628,0.24,0.265652,1,2552,8399,4696944,1938,1,0,35744,6165,1989,0,1:28;2:28;3:98;4:1587;5:72;6:2;
1.375,1.173,0.186,1.032,0.186,1086585,0.061,337688,0.016,46070,0.08,41000,0.533,150642,2863401,0.261304,0.265652,1,3854,8770,4937744,3088,1,0,36780,7094,2195,0,1:26;2:80;3:53;4:1836;5:238;6:152;7:21;
1.406,1.204,0.186,1.063,0.186,1112131,0.061,347256,0.016,49496,0.08,42000,0.564,156288,2975049,0.261304,0.265652,1,6466,9151,5313392,5442,1,0,39413,7747,2335,0,1:26;2:78;3:98;4:1839;5:1073;6:1254;7:243;8:2;
1.437,1.235,0.186,1.094,0.186,1137489,0.061,354496,0.016,50617,0.08,43000,0.595,159171,3037623,0.24087,0.265652,1,6738,9413,5433232,5512,1,0,40262,7987,2367,0,1:26;2:78;3:98;4:1839;5:744;6:1520;7:394;8:2;
1.453,1.251,0.186,1.11,0.186,1162844,0.061,360309,0.016,51277,0.096,44000,0.595,161299,3083529,0.257826,0.265652,1,6426,9602,5501216,5119,1,0,40667,8211,2398,0,1:26;2:78;3:98;4:1839;5:436;6:1476;7:375;8:2;
1.468,1.251,0.201,1.11,0.186,1188165,0.061,364512,0.016,51546,0.096,45000,0.595,162429,3108162,0.257826,0.265652,1,5604,9717,5524848,4330,1,0,40838,8296,2411,0,1:26;2:78;3:98;4:1839;5:213;6:1063;7:262;8:7;
1.484,1.267,0.201,1.126,0.186,1213458,0.061,368097,0.016,52261,0.096,46000,0.611,163761,3134475,0.252609,0.265652,1,5145,9827,5602128,4020,1,0,41211,8618,2431,0,1:26;2:78;3:93;4:1921;5:382;6:616;7:145;8:7;
1.5,1.283,0.201,1.142,0.186,1238962,0.061,372629,0.016,52904,0.096,47000,0.627,165357,3169521,0.263043,0.265652,1,4541,9963,5664960,3581,1,0,41336,9127,2440,0,1:26;2:78;3:92;4:1933;5:377;6:263;7:60;8:2;
1.531,1.314,0.201,1.173,0.186,1265342,0.077,378087,0.016,54393,0.096,48000,0.642,168024,3218139,0.261739,0.265652,1,4746,10195,5803168,3815,1,0,42374,9483,2535,0,1:26;2:77;3:88;4:2226;5:488;6:219;7:37;
1.547,1.33,0.201,1.189,0.186,1292041,0.077,385174,0.016,56211,0.096,49000,0.658,171925,3290229,0.257826,0.265652,1,5544,10475,5989760,4481,1,0,43449,10067,2694,0,1:26;2:77;3:58;4:2275;5:1032;6:317;7:10;
1.578,1.346,0.216,1.205,0.186,1319127,0.077,393251,0.016,58013,0.096,50000,0.658,176643,3374826,0.264783,0.265652,1,6437,10797,6180272,5182,1,0,44737,10420,2855,0,1:26;2:77;3:22;4:2257;5:1623;6:375;7:7;
1.593,1.361,0.216,1.22,0.186,1343826,0.077,402505,0.016,60401,0.096,51000,0.673,180542,3457863,0.259565,0.265652,1,8008,11106,6447728,6570,1,0,45538,12001,2861,0,1:26;2:76;3:48;4:2233;5:1749;6:1059;7:353;8:24;
1.625,1.393,0.216,1.252,0.202,1368716,0.077,411932,0.016,61821,0.096,52000,0.689,184590,3547011,0.255652,0.265652,1,8636,11381,6606768,6990,1,0,45995,12964,2861,0,1:26;2:76;3:48;4:2233;5:1494;6:1479;7:571;8:61;
1.64,1.393,0.231,1.252,0.202,1393279,0.077,416955,0.016,62123,0.096,53000,0.689,185707,3574047,0.25913,0.265652,1,7891,11509,6640592,6292,1,0,46158,13103,2861,0,1:26;2:76;3:48;4:2233;5:1494;6:947;7:417;8:48;9:1;
1.656,1.409,0.231,1.268,0.202,1418282,0.077,422480,0.016,62636,0.096,54000,0.705,187257,3610074,0.253043,0.265652,1,7303,11628,6698048,5805,1,0,46476,13296,2863,0,1:26;2:76;3:47;4:2256;5:1554;6:473;7:335;8:31;9:1;
1.672,1.425,0.231,1.284,0.202,1443048,0.077,427979,0.016,63911,0.096,55000,0.705,189379,3655227,0.26087,0.265652,1,7463,11822,6840064,6073,1,0,47412,13620,2878,0,1:26;2:76;3:45;4:2295;5:1627;6:789;7:147;8:14;
1.703,1.456,0.231,1.315,0.202,1468147,0.077,434692,0.016,65954,0.096,56000,0.736,192993,3730446,0.252609,0.265652,1,8594,12085,7066192,7092,1,0,48631,14381,2941,0,1:26;2:76;3:42;4:2324;5:1943;6:1234;7:294;8:4;
1.734,1.471,0.247,1.33,0.202,1493761,0.077,440714,0.016,67268,0.096,57000,0.751,195678,3786090,0.252609,0.265652,1,8996,12332,7210896,7384,1,0,49448,14851,2968,0,1:26;2:76;3:42;4:2292;5:2095;6:1332;7:351;8:7;
